,Asymptomatic_01,Asymptomatic_02,Asymptomatic_03,Asymptomatic_04,Asymptomatic_05,Asymptomatic_06,Asymptomatic_07,Asymptomatic_08,Asymptomatic_09,Asymptomatic_10,Asymptomatic_11,Asymptomatic_12,Asymptomatic_13,Asymptomatic_14,Asymptomatic_15,Asymptomatic_16,Asymptomatic_17,Asymptomatic_18,Asymptomatic_19,Asymptomatic_20,Asymptomatic_21,Asymptomatic_22,Asymptomatic_23,Asymptomatic_24,Asymptomatic_25,Asymptomatic_26,Asymptomatic_27,Asymptomatic_28,Asymptomatic_29,Asymptomatic_30,Asymptomatic_31,Asymptomatic_32,Asymptomatic_33,Asymptomatic_34,Asymptomatic_35,Asymptomatic_36,Asymptomatic_37,Asymptomatic_38,Asymptomatic_39,Asymptomatic_40,Asymptomatic_41,Asymptomatic_42,Asymptomatic_43,Asymptomatic_44,Asymptomatic_45,Asymptomatic_46,Asymptomatic_47,Asymptomatic_48,Asymptomatic_49,Asymptomatic_50,Asymptomatic_51,Asymptomatic_52,Asymptomatic_53,Asymptomatic_54,Asymptomatic_55,Asymptomatic_56,Asymptomatic_57,Asymptomatic_58,Asymptomatic_59,Asymptomatic_60,Asymptomatic_61,Asymptomatic_62,Asymptomatic_63,Asymptomatic_64,Asymptomatic_65,Asymptomatic_66,Asymptomatic_67,Asymptomatic_68,Asymptomatic_69,Asymptomatic_70,Asymptomatic_71,Asymptomatic_72,Asymptomatic_73,Asymptomatic_74,Asymptomatic_75,Asymptomatic_76,Asymptomatic_77,Asymptomatic_78,Asymptomatic_79,Asymptomatic_80,Asymptomatic_81,Asymptomatic_82,Asymptomatic_83,Asymptomatic_84,Asymptomatic_85,Asymptomatic_86,Asymptomatic_87,Asymptomatic_88,Asymptomatic_89,Healthy_01,Healthy_02,Healthy_03,Healthy_04,Healthy_05,Healthy_06,Healthy_07,Healthy_08,Healthy_09,Healthy_10,Healthy_11,Healthy_12,Healthy_13,Healthy_14,Healthy_15,Healthy_16,Healthy_17,Healthy_18,Healthy_19,Healthy_20,Healthy_21,Healthy_22,Healthy_23,Healthy_24,Healthy_25,Healthy_26,Healthy_27,Healthy_28,Healthy_29,Healthy_30,Healthy_31,Healthy_32,Healthy_33,Healthy_34,Healthy_35,Healthy_36,Healthy_37,Healthy_38,Healthy_39,Healthy_40,Healthy_41,Healthy_42,Healthy_43,Healthy_44,Healthy_45,Healthy_46,Healthy_47,Healthy_48,Healthy_49,Healthy_50,Healthy_51,Healthy_52,Healthy_53,Healthy_54,Healthy_55,Healthy_56,Healthy_57,Healthy_58,Healthy_59,Healthy_60,Healthy_61,Healthy_62,Healthy_63,Healthy_64,Healthy_65,Healthy_66,Healthy_67,Healthy_68,Healthy_69,Healthy_70,Healthy_71,Healthy_72,Healthy_73,Healthy_74,Healthy_75,Healthy_76,Healthy_77,Healthy_78,Healthy_79,Healthy_80,Healthy_81,Healthy_82,Healthy_83,Healthy_84,Healthy_85,Healthy_86,Healthy_87,Healthy_88,Healthy_89,Healthy_90,Healthy_91,Healthy_92,Healthy_93,Healthy_94,Healthy_95,Healthy_96,Healthy_97,Healthy_98,Healthy_99,Healthy_100,Healthy_101,Healthy_102,Healthy_103,Healthy_104,Healthy_105,Healthy_106,Healthy_107,Healthy_108,Healthy_109,Healthy_110,Healthy_111,Healthy_112,Healthy_113,Healthy_114,Healthy_115,Healthy_116,Healthy_117,Healthy_118,Healthy_119,Healthy_120,Healthy_121,Healthy_122,Healthy_123,Healthy_124,Healthy_125,Healthy_126,Healthy_127,Healthy_128,Healthy_129,Healthy_130,Healthy_131,Healthy_132,Healthy_133,Healthy_134,Healthy_135,Healthy_136,Healthy_137,Healthy_138,Healthy_139,Healthy_140,Healthy_141,Healthy_142,Healthy_143,Healthy_144,Healthy_145,Healthy_146,Healthy_147,Healthy_148,Healthy_149,Healthy_150,Healthy_151,Healthy_152,Healthy_153,Healthy_154,Healthy_155,Healthy_156,Healthy_157,Healthy_158,Healthy_159,Healthy_160,Healthy_161,Healthy_162,Healthy_163,Healthy_164,Healthy_165,Healthy_166,Healthy_167,Healthy_168,Healthy_169,Healthy_170,Healthy_171,Healthy_172,Healthy_173,Healthy_174,Healthy_175,Healthy_176,Healthy_177,Healthy_178
PC 32:3 (14:0/18:3),65203,30649,40927,80130,26521,32476,61563,64735,51164,45557,47502,27458,26362,15734,10836,36300,35923,8880,48065,15935,63668,23060,67611,56647,39445,35946,30491,39788,43847,79874,37469,91080,37752,15511,29933,28151,42471,71382,39540,80728,26247,21298,39006,33938,34256,53378,25754,21143,17586,16398,38520,59145,28402,46994,4269,146041,53500,47906,37081,41536,84115,36669,44436,56149,34773,36527,54465,65299,62445,35260,33893,49973,27724,12433,39128,18604,63167,22117,33151,28340,23905,117768,57807,38965,51839,28561,8683,18662,23735,15658,4532,11433,17654,15637,17111,69511,14194,11473,32925,63280,9694,17321,28074,16149,54952,41567,25420,42565,11956,17726,15161,50358,4329,8185,11436,23555,7144,6504,30911,18184,30544,26576,5153,8522,16303,14684,27450,73463,36402,32890,55997,27258,2887,29338,10065,14402,10117,11111,10716,15671,21782,12646,10307,15889,21349,14747,2200,21683,37758,12968,24117,27855,53636,18345,9049,16775,26577,24758,9616,60100,24138,9793,14758,21619,17435,18347,36625,30846,13760,12203,11799,140095,16120,6862,31975,29095,44580,7964,21361,13393,57520,27599,9545,24656,82604,35617,12342,7728,70430,13930,34286,5564,50655,15674,27508,17880,66764,21312,29863,17934,65878,18671,14113,20319,20031,10861,7544,7102,48454,20079,31795,19176,38116,47163,10164,20093,23086,5641,3080,17117,68653,17513,6408,19070,30463,34090,35437,58256,43869,14554,15709,6566,37486,18459,29734,5536,25483,11028,40102,22539,15513,21828,46194,24984,84609,56777,53767,9246,21218,21889,11259,22493,28130,16199,31513,32056,5791,46442,29622,20825,61891,35449,73974,18184,16571,8777,15833
PC 34:3 (16:0/18:3),190142,140285,140893,203788,138021,216287,289681,241777,164162,292383,158456,127911,133555,97733,93086,137673,176223,91287,175553,49526,195451,150839,230239,250021,166513,169076,125867,132351,140344,429890,294587,374329,158872,201937,141483,158754,172172,252436,160218,219546,143272,154379,179191,368721,161859,206268,107124,122042,144116,123389,163825,209582,158760,176504,89682,477471,213562,167030,175780,131431,206565,149201,172761,247396,143354,181510,227536,196680,168246,160334,160535,138065,146526,96799,136414,102516,226606,130050,142852,104768,147181,265128,169282,165696,225479,94328,94787,146137,116057,144212,66337,72275,80007,115061,81307,220430,85863,92090,231708,223596,123088,59623,158450,135850,164621,236380,214103,160802,97250,83231,81935,143284,74748,65700,89821,109525,77215,104042,130062,33845,142995,84808,74704,115504,113983,110951,137271,133814,154885,151018,123702,138114,65017,150635,83006,79996,44769,108608,77139,57585,119951,100460,54467,105836,144701,114497,73235,136710,190646,125692,132816,160951,269951,88906,85371,143863,164191,221846,91826,211062,122977,66438,130952,119277,107627,122284,111526,118263,103502,101463,45581,402043,130569,53872,152266,148589,180198,64433,126430,149693,232920,145798,106431,138163,280110,236077,134563,93517,227706,114077,112624,58800,238140,92363,154046,84207,207912,94391,240261,141308,128033,119614,99389,64755,116412,77383,87668,55684,208717,124696,133360,69723,179028,267734,114538,139180,155842,68279,54852,111432,286870,100003,144252,117069,149140,135842,151023,172611,216766,107251,196902,53412,176945,104472,134072,81203,170275,56190,172611,98916,108373,95567,160321,110822,316128,176323,190183,78517,110296,97508,106899,52027,111276,101196,187518,75629,122667,248336,131047,77964,192460,103678,284990,92191,81968,65952,119986
PC 38:3 (18:0/20:3),714322,530261,523273,463688,568592,257108,937719,438848,387153,947174,644067,355757,371288,543560,303413,284525,968856,402354,510407,360812,726484,520947,527913,890310,845416,336623,552038,363806,474278,2030016,1186803,1137294,477793,818354,795343,299157,866163,711784,255030,1049367,421308,676114,734481,1846999,801726,737095,535370,1049869,348788,170449,935130,696317,571477,498666,290170,2389611,628424,482374,623968,405126,814118,1065532,483883,664656,656994,653240,625078,475586,391726,585101,811229,366599,648675,270408,398925,294209,639726,356001,457403,794406,481255,528166,493169,715945,1535274,760878,246975,214710,331507,345615,525963,434553,444962,1155668,313819,693413,632929,416864,736535,1081646,221686,525267,545220,360483,304012,921903,716165,818837,475192,351646,421171,496804,222781,291985,232057,266179,284991,374436,319959,522685,319794,434063,256598,210175,345235,462244,566063,418988,558088,399437,435912,322192,268128,317097,357356,355694,397253,497212,585320,233175,523119,401233,392827,162669,301259,163662,458142,673860,573542,363413,1572434,320071,737886,431286,817077,441385,793825,708764,355499,681070,441554,535818,396090,392188,226461,476161,452009,577871,399100,420977,508767,1097933,347940,453912,569348,633343,413823,243019,450311,795641,834814,629576,621819,370164,871664,1038671,629396,485217,552674,255182,331638,401760,280050,458414,354020,630200,702798,609029,723363,417348,655976,220421,353675,526552,338697,581325,246812,337909,876930,314366,278376,524495,648874,460180,342921,629147,477799,341955,265214,530642,553301,360803,304335,673190,829012,605322,230600,579447,537071,560327,734252,716301,319199,412796,435586,174793,448533,441676,513373,336945,416521,528015,504732,383109,874611,374791,330004,371972,347508,178616,249978,582533,558224,351668,685714,761598,394812,1574404,453480,711710,773541,300848,537200,556183,696225,616988,345079
PC 36:3 (16:0/20:3),1458388,1331126,943354,944638,967486,712589,1837345,1150408,759301,1757264,1241216,769631,845001,1028361,599431,557788,1815734,921773,1056672,808434,1478310,940235,1146200,1506478,1490098,944732,1140420,818230,977470,3234504,1958482,2200895,994692,1546297,1746059,609498,1880367,1455776,826757,1977856,791176,1334581,1346406,3385031,1407291,1652276,912517,1641093,839137,420860,1656728,1241236,1101534,1091575,604926,4091884,1481289,968994,1474007,882863,1615215,2020078,1103205,1689738,1199662,1382801,1276659,965446,861114,1178273,1517981,718254,1382203,617162,933550,651166,1223436,746037,1108708,1306267,1033734,1349386,977144,1252978,2672868,1192402,553845,530730,747310,732184,758451,884388,866358,2034725,655611,1527424,1205270,1094703,1275936,2029372,490617,1084387,1296060,905989,606728,1367878,1320085,1624589,938737,672123,708980,1211673,528512,558590,514708,552069,604026,876688,674862,907270,667860,798991,503005,471378,713204,837906,968732,909442,1088362,1012550,1086718,692359,625374,773211,822085,753962,888754,1005604,962963,493938,1036479,900922,749886,474356,717726,417405,966914,1235945,1304058,921071,2499228,908259,1770361,896975,2258414,846803,1213628,1642161,689809,1493127,879766,1087694,994818,751477,567965,1047287,896870,1060643,783798,1015517,934029,2298511,650402,958651,1129429,1287460,960057,528607,822121,1653641,1975396,1203812,1167011,808356,1761372,1793718,1323424,1091228,1240494,555818,664713,916151,706311,935853,741145,1335654,1333631,1244108,1811981,1091973,1313160,560480,810420,1045333,689326,1143899,536859,663680,2246610,701431,554821,1138650,1397734,1163162,723496,1091572,883589,692961,585854,1230234,1251562,706994,727147,1271255,1687895,1336476,643548,1329398,1119053,1412016,1357384,1546578,751374,1065244,992680,553108,845612,1077864,1022394,830169,690729,1093305,1060936,894346,2154907,876839,889281,675906,744551,501225,716342,1096353,1248283,765859,1369846,1365409,950076,2801390,815774,1564973,1672462,701399,1188544,1057272,1322570,1244074,676948
PC 37:3 (17:0/20:3),15879,14585,12122,16069,9061,8687,17789,14823,9279,21454,9653,6356,5468,8710,6030,5298,13345,2692,16099,8703,17457,11073,12679,5249,15792,7986,13029,8552,13525,23289,16763,18605,6081,19422,17274,3618,11909,11701,1946,22568,8625,18608,9424,29019,16461,13460,12689,16667,7921,5007,19658,11952,14156,12549,6065,28317,14470,11293,14072,11699,19837,18720,7715,19569,16527,15671,16849,10741,8520,14759,15318,3437,9271,8318,2632,7858,13469,4537,7215,23720,12272,10403,9474,13728,20174,10634,7427,3688,8927,5838,9871,9527,6227,25769,6140,11941,12542,8005,13788,20724,2789,14622,11729,10902,6667,7646,18107,23238,9413,8743,9321,14545,2850,5084,7271,4239,4758,7334,3012,12879,7475,9252,5464,2022,8068,9344,11279,8099,5371,12633,6195,9669,6497,7080,8857,11236,10521,12705,8699,8434,12101,8670,7783,1776,3524,4329,12234,17388,13458,7656,19781,10753,20365,8206,15552,10432,11250,15504,4855,16290,11078,11172,8971,10225,4914,6737,12303,9055,11110,6437,8696,19521,8649,10643,11800,14966,10388,7210,10357,18218,16693,12579,11111,8896,16549,13791,9176,12902,13424,4584,8238,13321,2772,11267,8655,15028,14967,12865,18183,13539,15526,6051,9457,5781,5809,11751,4920,9257,4267,6118,10206,12093,11946,11830,2955,9388,9053,8093,1367,5025,13826,9106,6666,16771,16693,13862,3944,17327,9485,16410,12343,15128,5818,13552,11198,3092,11610,6918,4184,9759,6186,13090,16028,11630,17494,15559,2703,4152,6732,4878,6861,14156,9900,10439,12244,12763,9158,31441,7860,12246,14202,5513,10111,12201,11005,15877,7608
PC 35:5 (15:1/20:4),160135,146420,128570,174309,114199,147928,299341,238310,164622,286867,124967,90791,110429,170840,31141,82673,233844,94116,195817,91060,96913,106562,162554,67866,222513,133602,104785,69453,106744,220393,234566,203358,141741,196529,146750,149719,221261,214358,133010,349879,161070,165655,95991,234860,126330,146423,130479,336730,86763,112470,197257,166688,193886,124560,102204,356575,133367,204278,191973,88497,123209,211857,59062,233510,141910,227977,94785,181114,116692,141363,131465,216127,276002,81991,106953,133452,287644,98237,102335,231696,196290,249631,134003,209155,514460,187540,79718,189958,212953,180244,79387,142133,109035,257815,65702,219652,143256,79855,149822,177468,137159,108680,89497,112530,130253,156111,178069,130659,142959,80468,114973,187197,101348,69366,76688,86630,120085,77348,32201,130429,66889,155487,77068,90345,106735,136647,334025,92152,43392,81952,219910,86350,18689,87383,75832,27223,124664,150902,155802,73200,131594,72990,132334,116049,21259,69261,128881,225500,234293,41317,161379,114607,192044,88735,382619,165613,63279,219047,116653,122884,77139,91309,105600,99977,130842,147096,116045,166172,68733,167226,155858,303372,156878,58214,78479,88523,142132,102610,84034,126049,177817,119937,119856,96855,198926,160548,162145,81182,90325,125033,159201,166329,210685,133808,125344,214164,253162,275876,234388,216979,207851,100858,90166,119820,118690,105575,66128,73999,499734,195322,146929,229178,165436,215078,130760,113851,72620,66579,44064,178075,123530,134393,96592,44669,212584,85441,89164,253156,143220,149478,147473,106116,161003,138009,95247,124123,117889,171244,103043,188932,67618,149173,99641,130354,358020,150258,65198,25867,62019,130524,116191,242391,273486,139193,244323,102461,134603,302233,109918,163348,241029,107169,99135,133725,204100,206470,121760
"PC 38:4 (16:0/22:4, 18:0/20:4)",127876,112063,82447,109794,91598,88896,156799,68336,45001,179773,86990,71246,80290,97794,59750,68071,137092,91371,94055,55866,112362,96219,85579,157356,125309,66655,71979,76110,72452,320518,145335,185882,75317,123717,154201,55013,119426,117211,65017,184673,69196,137393,119885,228699,149754,167199,83151,206997,96124,68092,161837,107016,76809,105954,49030,331240,124459,68556,131943,72673,112667,192841,89249,141537,103853,114640,100770,78734,69413,107310,111647,64429,100305,62360,84723,84576,141880,52751,76134,135571,93769,116523,81206,112368,272319,103894,56482,74923,68759,104684,62062,69182,64144,179757,58364,105677,97745,85545,131279,149034,62060,89979,83398,83829,67779,147964,113380,132584,80938,47095,81330,96773,46065,61226,52158,47885,61901,109279,105494,105897,58780,109577,57173,70905,57032,70910,102406,70798,79289,99797,128729,62688,40566,61736,66824,55211,99295,71734,85453,39657,81424,79238,104770,72012,59014,39936,74163,109992,97320,114544,185610,104587,133768,83194,189493,79047,79065,137437,58995,101755,100284,96582,93454,64920,58645,75288,78607,104484,86661,63435,82221,266511,72733,70430,115868,83574,78615,53091,77804,119864,152261,101360,108853,60130,138239,134232,113731,98410,140912,65861,72600,44559,113329,73847,87078,109882,131240,99605,147345,79864,147822,43516,71364,77229,63380,105658,83269,49446,170005,65588,37492,84778,124420,78015,70800,77944,87405,96856,68404,108971,80090,65743,65221,102651,101619,121784,77415,119896,84414,93424,107309,157523,80848,79780,104003,74885,80799,94151,106230,57590,69503,70113,73951,68880,117924,81901,58280,62953,79926,62628,53659,149877,107222,80314,101464,94460,80707,162088,83624,100321,166258,46971,98478,83637,116295,110544,64297
PC 40:4 (18:0/22:4),47279,44645,46477,52566,52862,38104,66885,23047,23568,76189,40763,32099,34221,49603,29304,35269,69278,35388,41706,25972,45107,43997,39019,85628,58575,26883,32913,36887,29982,102261,79297,80820,38312,63219,60249,31658,54974,49137,24553,78978,20337,72269,64346,87001,75768,71356,44999,92246,45761,34620,68639,51788,36672,44108,24756,124380,58158,34580,53200,33722,51168,83443,38971,51626,48286,43340,51185,40924,16262,53039,53479,32245,43127,27706,39784,41579,65145,22306,28778,69828,41538,42329,44874,58063,110099,52288,26956,35309,31950,51367,40085,31236,29535,74804,25219,39115,49148,33509,55838,65233,26903,35006,35333,36847,32443,90829,51754,59043,39709,21262,44526,34747,20037,35255,25115,22244,29402,43834,48870,58939,26398,52587,30658,36623,28171,35279,40759,33020,32924,41794,49558,28118,18727,25502,31450,28212,42673,34740,47161,19797,40698,35083,49243,24450,34995,15711,30824,55470,42753,50250,89697,39519,59592,37172,78079,20842,59846,58540,17955,39467,50554,45255,36827,30878,24973,31592,40928,53670,40887,26271,43815,122548,37102,32509,60641,43356,33375,26202,38070,57399,59627,52149,58459,28191,60721,52559,53878,44871,54459,35336,34843,15652,47062,36570,47696,53256,46453,45890,50692,30128,65377,30333,30827,35893,26733,52635,37395,23548,64767,26039,11067,41586,51259,31803,35266,36337,46561,46615,36744,49963,36461,30147,30942,46875,46740,52443,29893,52040,33925,40336,57956,69432,31981,33491,40561,27864,40633,37761,56379,23079,40650,29461,32286,27735,38319,27265,22522,37269,33370,20991,23351,75164,42093,36188,51411,45117,35530,62173,37885,44043,66523,16772,41518,35786,59615,45010,33572
PC 42:7 (20:1/22:6),88509,62320,91714,136079,56185,63753,39790,77013,81745,48440,67815,59187,91686,57361,67698,123037,44029,89706,138339,61540,62211,67677,92520,55700,66007,72912,81243,52396,91912,54318,50991,70344,136675,133630,63496,105509,69794,56658,55684,99057,81874,125838,71733,44568,82330,71401,112512,116574,84411,68662,38077,50821,114657,76192,49485,33093,74910,91382,75427,111887,68290,54517,89530,62359,79413,115115,86081,54564,87850,156689,53179,83835,69429,91068,69629,109827,66092,69469,87284,62816,70344,50012,88373,75330,42879,39877,74481,132632,91761,209617,165378,71098,68329,158129,102581,123485,138026,58980,67842,98147,79902,72028,88048,65054,76296,152131,244942,179301,95306,111747,164841,71841,90135,96951,96313,58340,86415,96517,52856,193950,94969,82640,53594,75169,79017,92568,91673,85333,29645,66811,71735,67118,45909,98188,108112,71313,112149,76096,100833,96940,195207,87448,134428,61480,36075,54675,72655,168409,80149,51992,81234,79960,154084,78214,40296,174075,106125,57737,79994,89888,86333,55120,61808,101446,107967,63462,155495,29382,87217,64212,52105,145946,186269,66716,99848,78298,140805,76436,77894,110940,64566,66062,89684,62455,183594,69019,64451,98989,81174,97910,125537,243249,56332,153628,83776,49337,98167,77811,72093,80899,96678,76793,72308,47972,78873,87264,53912,133967,100077,67738,667802,41806,63076,91808,86063,105979,92435,80378,53466,69462,81607,112408,123055,232108,105361,80047,76706,130300,119171,72312,46388,41380,166313,92052,112023,59815,99256,49589,71563,138059,102374,94998,174852,104004,155722,105543,93433,87534,95678,66435,58108,181040,64232,102806,54635,59148,90963,122051,86594,43598,126815,114824,77697,63489,63579,118556,50205
PC 40:3 (i),41495,44981,60891,96068,38697,46959,67589,79786,44487,84000,70324,20679,53948,56453,48912,76489,53268,51634,82017,41627,61253,73232,80093,64676,60638,76024,58563,26871,31918,30300,61840,47819,70373,125680,90399,185341,78936,56619,60510,103536,83679,103055,69143,77968,62034,50491,99308,89351,93690,81703,73065,57057,117997,39321,33979,80741,27535,83214,89683,90975,95224,92291,62155,42568,36733,86804,70943,57348,60139,77318,66841,76620,33106,49218,73815,90784,84671,67813,53664,83444,77468,56139,47728,85118,111771,38696,72268,83148,61841,169087,81847,101353,27999,153527,49295,107472,105058,38972,68617,115396,89867,41821,87949,114316,85713,181999,157923,143291,58595,56108,96624,77985,71870,32563,45445,45992,37349,73264,61124,127220,68102,39023,8039,81462,53433,33486,53722,65652,40193,79526,90194,70251,41612,148738,78936,60064,39340,91238,66665,70745,135148,34871,98868,33416,31726,56928,87733,122742,84463,32902,99105,84720,136472,31369,18469,221245,286880,47461,75910,71349,37016,67954,23491,86896,84980,64897,100927,24723,63623,74192,24797,243320,154956,78169,110178,56174,146034,67453,74715,106096,59918,62178,47380,70313,664429,74681,84286,45343,108022,101461,103931,79127,50711,110328,117043,34686,162471,99130,80320,80873,63017,125345,83407,61171,52762,65592,67954,91035,170809,140012,1151788,71078,63201,107935,87330,94041,62567,47779,38380,76680,56273,63339,305659,137505,110388,57094,71868,101666,100399,87686,48682,28634,143538,51144,117231,23402,110460,45182,79352,91274,81315,77055,153214,101806,487586,76917,72959,73685,130516,65195,152584,92967,137134,79375,137949,85818,114785,143078,78876,30542,169087,100485,130306,76423,79898,77988,43471
PC 44:4,5450,16773,3572,15965,9395,5092,12697,12487,6259,23028,7517,5532,9510,8643,9372,10171,3617,9574,13959,16760,8797,11625,8236,10730,13581,6327,6714,5173,12690,9249,14509,17913,11624,25624,10434,3849,9119,10158,9571,21169,20829,26568,9330,6676,13581,5342,19711,21552,21519,13536,16617,10963,12434,14520,8878,10233,6678,9142,8947,7324,16518,19618,17624,6005,11882,8908,11172,11505,11232,12786,12529,13098,7315,12382,17044,19405,6252,5985,3473,12023,16285,10264,13821,10584,22733,13112,11872,14363,5220,32495,4945,14798,11102,24567,10819,14512,16529,10708,16310,15722,9327,15129,6047,19829,11249,20791,7161,33650,12263,13524,37369,14462,3677,18243,10522,11035,9666,9283,9760,30653,12230,8260,5741,8608,5221,10244,4584,9232,1802,19921,17208,7119,2580,8839,7247,5357,13728,18483,18010,10619,13579,18516,20139,9986,10709,6892,14180,24879,12218,18958,35341,17082,23303,7889,14856,26624,5296,24754,20415,11435,23677,17595,11448,7734,12111,10687,23225,11216,14523,19935,17498,50087,24466,15501,15555,9542,12713,7238,8681,8899,10216,23291,19925,7547,15333,12117,13686,16902,8136,21391,18681,5030,22743,25863,23313,16479,19563,19229,9233,12267,13563,19749,10222,14489,10700,13098,20871,13681,18580,7405,19252,12550,13395,12298,12981,10167,4802,8579,4856,12522,17367,7295,9009,24360,28092,15863,10947,21202,14903,13382,4935,11229,16887,14861,28206,8956,16620,13570,23182,7202,19591,14247,30893,6986,11832,13107,2316,3436,9253,9152,9028,22825,20180,18816,10463,9655,21575,20577,9776,4482,24036,5603,8718,15528,13350,16981,6220
PC 40:4 (20:0/20:4),10027,11834,8776,7301,9604,12357,12585,10333,8949,12123,8652,8324,6435,8147,7417,6788,6229,7571,8781,11828,2832,8002,3130,4153,8726,5396,8301,7305,6568,9128,14574,15031,10800,13470,11878,7839,9944,6237,7025,6067,10677,20419,11450,15475,8389,8000,11737,12189,11047,8641,10827,6738,13598,11459,6983,10146,9297,11458,8352,6845,9550,14069,13232,8965,10277,11938,11755,7807,3384,9744,8275,7709,8694,11842,10122,11549,9331,4659,3065,5222,10033,2098,4263,11521,10542,10013,9055,9304,5911,21675,11118,10948,7898,25956,17451,9724,14722,8343,11469,16692,13282,10934,10418,10831,8203,21038,18678,16566,9955,9320,13791,9783,5077,15362,5442,5895,8274,6269,7024,20852,9015,7406,9118,13112,6382,13016,6393,8012,2327,9200,9029,7886,5241,8416,8798,6336,11421,13718,13428,8674,14969,13816,12046,6052,7658,5581,5253,12667,10952,15236,17296,14013,19106,10524,11649,19123,4688,15119,11619,11178,10844,12630,7992,11191,12316,6850,12125,6872,10282,9266,9935,32939,19402,14199,15781,10499,7309,7946,9176,15049,7972,15148,16887,7696,13353,8467,10936,13611,11587,11960,13313,10434,14352,17466,13018,9030,12783,16483,9391,10184,13665,11833,8987,7940,8406,9498,13957,10331,12858,7121,16402,11100,11818,16779,16345,10984,12137,17233,10482,9801,10996,9471,9642,21785,17747,15002,5878,12032,14161,8761,13742,9060,13110,11212,14181,6472,11994,12939,13853,6674,11793,9718,7697,9093,12435,7537,5675,6729,8795,5858,6718,13180,11123,8884,12825,10005,15487,12696,8947,6884,16032,6310,10645,7769,11165,11414,7166
PE 36:2 (18:0/18:2),252897,222895,256969,240013,183932,402651,738811,759591,296429,348187,475375,173132,124715,305736,121019,257404,479037,112684,254532,221085,174527,234799,588119,240608,277602,393763,413907,126667,296176,483474,742654,483024,321060,363480,251692,315467,695564,424182,343508,526674,381106,206502,221957,605989,187625,223905,182211,239009,301563,388053,209401,372212,219859,323871,186855,1292444,439376,318171,378980,467629,340962,394099,289893,469304,189335,412948,225721,577953,303408,522095,547959,326040,309140,136718,246124,212472,372588,411405,228313,265838,352823,388323,307439,425135,686469,182401,142049,293694,345163,204608,77255,274998,249093,400998,177888,392603,187541,143447,151548,350719,155586,277146,161857,264691,238228,130631,277521,309357,339661,154194,153259,285268,209883,121450,121709,170426,219610,197147,119133,274031,151697,213695,92931,183030,157300,159362,259378,194502,171701,139174,215974,134018,145809,83817,244596,140811,123347,423471,211374,143845,217974,116346,226402,163363,253784,278922,109836,267206,679942,319529,338731,250179,430594,152118,743518,188133,107918,408524,286328,279633,121619,226662,135148,226005,185251,216750,166555,128677,105903,276195,265011,1404198,174575,419323,250114,273853,261958,220017,141962,347938,315351,239097,247475,240085,350407,379891,321492,129826,86508,362490,300965,301672,217532,384617,167686,249055,176654,338344,765903,334323,489326,195487,218482,243624,159500,229726,78798,222209,907025,187238,182345,988080,157061,931407,214968,264596,119324,194088,90672,310275,251138,166829,255452,94327,328808,170762,306829,281054,510675,275186,858310,157421,182134,169443,159846,88388,233032,169885,93193,300877,79119,194976,128633,322017,808636,254107,184412,60185,81900,311422,160605,162017,299242,248559,369570,221256,242390,170188,173417,374113,213723,161753,122062,182238,194855,167443,137492
PE 34:2 (16:0/18:2),103230,86139,95879,96462,59666,145974,293259,218500,107965,131004,147373,59895,43424,99761,38539,76010,181731,41060,91709,64747,60294,83203,212465,86437,95141,157810,120857,44062,87343,196015,235657,146931,93392,122922,97924,100326,272791,143854,117808,181481,100867,67439,81209,194525,63557,86903,55450,87949,100004,144536,69327,130398,77525,93733,48773,403029,140032,103140,128914,140564,119033,152343,81680,201310,63566,124983,64351,173678,89375,174176,187657,106233,99312,43372,85784,63626,121410,149620,68170,106420,107300,149216,112043,128973,261258,55415,40686,119091,109215,101581,40045,96080,82991,138656,62687,157619,63100,60036,59842,112018,64500,91553,60778,106277,112069,54643,97180,112389,131462,45276,56608,106461,66008,40494,43648,54323,87076,98624,39450,124805,50694,79687,29260,71629,55596,52043,105514,56375,57975,51184,86949,44741,38229,36860,89098,46748,39669,140538,65637,47888,66278,39429,88997,76575,89571,83908,39236,84634,236202,107777,121976,98107,184766,44994,294683,78458,42428,155432,72488,103329,43829,63776,58623,72896,79399,92480,60300,52436,35410,103714,68370,352639,56255,131630,78867,84728,101692,73902,46859,114950,126962,77610,89184,84540,119608,130290,118709,49447,37254,137708,100331,94079,93572,117876,61752,82716,59803,111028,281089,122720,206597,86626,85235,91563,52089,74944,30799,74053,320895,78032,60318,265037,63620,266635,80639,89306,38558,66132,31505,117020,83112,55019,117669,39261,115509,50689,137865,142609,184418,85956,285794,57887,107117,70234,53900,51787,71755,51493,30050,97183,29162,60194,43286,122853,223368,74033,59300,22994,31161,125777,58715,56822,129928,80056,132378,74038,77698,68254,66147,133190,66413,56516,48607,71473,74011,66085,53162
